pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,12560,,,1,,1,Deuce,Cassius Chinlund,Near,1.0,T,-44.28763123,149.31775481182137,,,,,,32.407917760263224,-417.9889162,,,,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,1.0,1,True,,Greg Gamal,Cassius Chinlund,,,,,,1st Serve In,T,
0-0,0-0,0-0,,13560,,,1,,2,Deuce,Cassius Chinlund,Near,,,,,,,,,,-55.20932305,497.34383748880686,Crosscourt,Backhand,,,,,,,,,,61.82881671037926,-318.6033082,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,1.0,,,,,,,Short
0-0,0-0,0-0,,14890,,,1,,3,Deuce,Cassius Chinlund,Near,,,,,,,,,,67.24547244091015,-395.8603346,Crosscourt,Forehand,,,,,,,,,,-96.57814414,456.8433562989765,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Long
0-0,0-0,0-0,,16260,,,1,,4,Deuce,Cassius Chinlund,Near,,,,,,,,,,-98.60675853,563.7295822394287,Down the Line,Forehand,,,,,,,,,,-99.90302931,-447.2009405,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Deep
0-0,0-0,0-0,,18370,,,1,,5,Ad,Cassius Chinlund,Near,,,,,,,,,,-91.80372922,-523.847266,Crosscourt,Backhand,,,,,,,,,,2.9333169291323427,235.83014545044688,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
0-0,0-0,0-0,,19820,1.0,19820.0,1,,6,Ad,Cassius Chinlund,Near,,,,,,,,,,29.88480971127065,506.31488407672873,Crosscourt,Forehand,,,,,,,,,,-156.1,-499.5608104,,,,,1.0,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,1.0,,,Cassius Chinlund,1,,,Long
15-0,0-0,0-0,1.0,34419,,,2,,1,Ad,Cassius Chinlund,Near,0.0,Body,72.97492344703141,279.10880905497396,1.0,Body,68.83237642166173,244.45390966741527,,-39.36045494,-442.8088309,,,1.0,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,,1,False,,Greg Gamal,Cassius Chinlund,,,,,,2nd Serve In,Body,
15-0,0-0,0-0,,45459,,,2,,2,Ad,Cassius Chinlund,Near,,,,,,,,,,99.80289807518903,532.0318842954381,Crosscourt,Forehand,,,,,,,,,,-60.2359416,-257.3998524,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,1.0,,,,,,,Short
15-0,0-0,0-0,,46560,,,2,,3,Ad,Cassius Chinlund,Near,,,,,,,,,,-98.98056649,-483.1785214,Crosscourt,Backhand,,,,,,,,,,51.28422462814498,309.65258639529054,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
15-0,0-0,0-0,,47959,,,2,,4,Ad,Cassius Chinlund,Near,,,,,,,,,,91.05611329829068,502.7264654,Down the Line,Backhand,,,,,,,,,,39.926219378807026,-277.4246829,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Short
15-0,0-0,0-0,,49160,,,2,,5,Deuce,Cassius Chinlund,Near,,,,,,,,,,26.80098972002115,-541.1913276,Crosscourt,Forehand,,,,,,,,,,-33.68616032,456.6067694660808,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,1.0,,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Long
15-0,0-0,0-0,,51160,1.0,51160.0,2,,6,Deuce,Cassius Chinlund,Near,,,,,,,,,,-37.47281277,549.3759076987537,Crosscourt,Forehand,,,,,,,,,,55.862625765500454,-117.3351269,1.0,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,,,,Greg Gamal,,,,Short
15-15,0-0,0-0,1.0,63419,,,3,,1,Deuce,Cassius Chinlund,Near,0.0,Body,-86.86962489,-8.241879921,1.0,T,-47.79168854,242.8774934381948,,26.146844925620787,-409.0178696,,,,,,,,,,,,,,,,,1.0,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,1.0,1,False,,Greg Gamal,Cassius Chinlund,,,,,,2nd Serve In,T,
15-15,0-0,0-0,,72660,1.0,72660.0,3,,2,Deuce,Cassius Chinlund,Near,,,,,,,,,,-68.47896982,525.4531167976288,Crosscourt,Backhand,,,,,,,,,,10.888888888883264,-473.729708,,,,,1.0,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,1.0,,,Cassius Chinlund,1,,,Long
30-15,0-0,0-0,1.0,106190,,,4,,1,Ad,Cassius Chinlund,Near,1.0,Body,87.91652449689246,194.66300306201663,,,,,,-35.62252843,-448.1914589,,,,,,,,,,,,,,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,,1.0,1,False,,Greg Gamal,Cassius Chinlund,,,,,,1st Serve In,Body,
30-15,0-0,0-0,,107120,,,4,,2,Ad,Cassius Chinlund,Near,,,,,,,,,,157.8904199,511.09944225695375,Down the Line,Backhand,,,,,,,,,,92.67444225716996,-422.6164261,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Greg Gamal,,,,,,,,Deep
30-15,0-0,0-0,,108290,,,4,,3,Deuce,Cassius Chinlund,Near,,,,,,,,,,71.43196084860702,-522.3521107,Crosscourt,Forehand,,,,,,,,,,-23.75341754,312.1891294836533,,,,,,UCLA,1/17/26,,UCI at UCLA,,,,UCI,Cassius Chinlund,Greg Gamal,Left,Right,,Hard,,,1.0,,1,False,,Greg Gamal,Cassius Chinlund,1.0,,,,,,,Short
