pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
0-0,0-0,0-0,1.0,27898.0,,,1,,1,Deuce,David Fix,Far,1.0,T,37.72700678,-189.0284394,,,,,,-42.53770779,475.2152559,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,6,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,1,,Gianluca Ballotta,David Fix,,,,,,1st Serve In,T,
0-0,0-0,0-0,,28829.0,,,1,,2,Deuce,David Fix,Far,,,,,,,,,,103.5408246,-546.5739556,Down the Line,Forehand,,,,,,,,,,59.53942476,303.6281387,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,1.0,,,,,,Short
0-0,0-0,0-0,,30559.0,,,1,,3,Ad,David Fix,Far,,,,,,,,,,59.09675744,421.3889764,Down the Line,Backhand,,,,,,,,,,20.35798885,-193.4398786,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,,,,,,,,Short
0-0,0-0,0-0,,32049.0,,,1,,4,Ad,David Fix,Far,,,,,,,,,,-1.772008968,-493.0466918,Crosscourt,Forehand,,,,,,,,,,33.49190726,231.5840989,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
0-0,0-0,0-0,,33428.0,,,1,,5,Ad,David Fix,Far,,,,,,,,,,59.32105752,521.8646982,Crosscourt,Forehand,,,,,,,,,,-91.12658027,-189.8493548,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,David Fix,1.0,,,,,,,Short
0-0,0-0,0-0,,34948.0,,,1,,6,Ad,David Fix,Far,,,,,,,,,,-153.8534394,-495.7379867,Crosscourt,Forehand,,,,,,,,,,122.5469652,227.5304681,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
0-0,0-0,0-0,,36759.0,,,1,,7,Ad,David Fix,Far,,,,,,,,,,167.9080982,489.5689304,Crosscourt,Backhand,,,,,,,,,,-9.213145232,-324.0964786,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,1,,Gianluca Ballotta,David Fix,,,,,,,,Short
0-0,0-0,0-0,,38009.0,1.0,38009.0,1,,8,Ad,David Fix,Far,,,,,,,,,,-51.65826225,-513.3810641,Down the Line,Forehand,,,,,,,,,,-31.51079396,-206.0076115,,,,1.0,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,,,David Fix,1,,,
15-0,0-0,0-0,1.0,60329.0,,,2,,1,Ad,David Fix,Far,0.0,T,7.401213911,-199.0552275,1.0,Body,-86.74537948,-164.2718723,,49.3407371,489.5689304,,,,,,,,,,,,,,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,,1.0,,1,,Gianluca Ballotta,David Fix,,,,,,2nd Serve In,Body,
15-0,0-0,0-0,,71029.0,,,2,,2,Ad,David Fix,Far,,,,,,,,,,-143.0881835,-503.8119477,Down the Line,Backhand,,,,,,,,,,-5.461477472,359.774661,,,,,,"Univeristy of California, Los Angeles",2/16/15,Division 1,Dual-Match,,,Los Angeles Tennis Center,Pepperdine University,Gianluca Ballotta,David Fix,Left,Right,,Hard,,1.0,,,1,,Gianluca Ballotta,Gianluca Ballotta,,1.0,,,,,,Deep
